z,H_over_H0,dL,w_phi,w_tot
1.266864226e-01,1.064556438e+00,1.385219192e-01,-9.997047319e-01,-6.249488785e-01
1.274680438e-01,1.064993777e+00,1.394456590e-01,-9.997032192e-01,-6.244763866e-01
1.282502072e-01,1.065431795e+00,1.403708477e-01,-9.997016997e-01,-6.240036514e-01
1.290329133e-01,1.065870492e+00,1.412974869e-01,-9.997001732e-01,-6.235306735e-01
1.298161623e-01,1.066309868e+00,1.422255780e-01,-9.996986397e-01,-6.230574537e-01
1.305999547e-01,1.066749926e+00,1.431551222e-01,-9.996970991e-01,-6.225839928e-01
1.313842908e-01,1.067190666e+00,1.440861212e-01,-9.996955516e-01,-6.221102917e-01
1.321691711e-01,1.067632089e+00,1.450185761e-01,-9.996939969e-01,-6.216363510e-01
1.329545958e-01,1.068074196e+00,1.459524886e-01,-9.996924351e-01,-6.211621715e-01
1.337405655e-01,1.068516987e+00,1.468878599e-01,-9.996908662e-01,-6.206877540e-01
1.345270804e-01,1.068960465e+00,1.478246915e-01,-9.996892901e-01,-6.202130994e-01
1.353141409e-01,1.069404629e+00,1.487629848e-01,-9.996877068e-01,-6.197382083e-01
1.361017474e-01,1.069849481e+00,1.497027411e-01,-9.996861163e-01,-6.192630816e-01
1.368899003e-01,1.070295022e+00,1.506439620e-01,-9.996845185e-01,-6.187877200e-01
1.376786000e-01,1.070741253e+00,1.515866489e-01,-9.996829134e-01,-6.183121244e-01
1.384678469e-01,1.071188174e+00,1.525308030e-01,-9.996813010e-01,-6.178362955e-01
1.392576412e-01,1.071635786e+00,1.534764259e-01,-9.996796812e-01,-6.173602341e-01
1.400479835e-01,1.072084092e+00,1.544235190e-01,-9.996780541e-01,-6.168839410e-01
1.408388741e-01,1.072533091e+00,1.553720836e-01,-9.996764195e-01,-6.164074170e-01
1.416303133e-01,1.072982785e+00,1.563221212e-01,-9.996747774e-01,-6.159306629e-01
1.424223016e-01,1.073433174e+00,1.572736332e-01,-9.996731279e-01,-6.154536795e-01
1.432148393e-01,1.073884260e+00,1.582266210e-01,-9.996714709e-01,-6.149764677e-01
1.440079268e-01,1.074336043e+00,1.591810860e-01,-9.996698063e-01,-6.144990281e-01
1.448015645e-01,1.074788525e+00,1.601370297e-01,-9.996681341e-01,-6.140213616e-01
1.455957528e-01,1.075241706e+00,1.610944534e-01,-9.996664543e-01,-6.135434691e-01
1.463904920e-01,1.075695588e+00,1.620533586e-01,-9.996647668e-01,-6.130653512e-01
1.471857826e-01,1.076150170e+00,1.630137466e-01,-9.996630717e-01,-6.125870089e-01
1.479816249e-01,1.076605455e+00,1.639756190e-01,-9.996613689e-01,-6.121084429e-01
1.487780193e-01,1.077061444e+00,1.649389770e-01,-9.996596583e-01,-6.116296541e-01
1.495749662e-01,1.077518137e+00,1.659038222e-01,-9.996579399e-01,-6.111506432e-01
1.503724659e-01,1.077975535e+00,1.668701560e-01,-9.996562137e-01,-6.106714111e-01
1.511705189e-01,1.078433639e+00,1.678379797e-01,-9.996544797e-01,-6.101919586e-01
1.519691256e-01,1.078892451e+00,1.688072948e-01,-9.996527378e-01,-6.097122865e-01
1.527682863e-01,1.079351971e+00,1.697781026e-01,-9.996509880e-01,-6.092323956e-01
1.535680013e-01,1.079812201e+00,1.707504047e-01,-9.996492302e-01,-6.087522868e-01
1.543682712e-01,1.080273140e+00,1.717242025e-01,-9.996474645e-01,-6.082719609e-01
1.551690962e-01,1.080734790e+00,1.726994973e-01,-9.996456907e-01,-6.077914187e-01
1.559704768e-01,1.081197153e+00,1.736762905e-01,-9.996439089e-01,-6.073106610e-01
1.567724134e-01,1.081660229e+00,1.746545837e-01,-9.996421190e-01,-6.068296886e-01
1.575749063e-01,1.082124019e+00,1.756343782e-01,-9.996403210e-01,-6.063485025e-01
1.583779558e-01,1.082588525e+00,1.766156754e-01,-9.996385148e-01,-6.058671034e-01
1.591815625e-01,1.083053746e+00,1.775984768e-01,-9.996367004e-01,-6.053854921e-01
1.599857267e-01,1.083519684e+00,1.785827837e-01,-9.996348778e-01,-6.049036695e-01
1.607904488e-01,1.083986341e+00,1.795685976e-01,-9.996330470e-01,-6.044216365e-01
1.615957291e-01,1.084453717e+00,1.805559200e-01,-9.996312078e-01,-6.039393938e-01
1.624015681e-01,1.084921813e+00,1.815447522e-01,-9.996293604e-01,-6.034569423e-01
1.632079661e-01,1.085390630e+00,1.825350957e-01,-9.996275045e-01,-6.029742829e-01
1.640149235e-01,1.085860169e+00,1.835269519e-01,-9.996256403e-01,-6.024914163e-01
1.648224408e-01,1.086330431e+00,1.845203222e-01,-9.996237676e-01,-6.020083435e-01
1.656305182e-01,1.086801418e+00,1.855152080e-01,-9.996218864e-01,-6.015250653e-01
1.664391563e-01,1.087273129e+00,1.865116108e-01,-9.996199968e-01,-6.010415825e-01
1.672483553e-01,1.087745567e+00,1.875095319e-01,-9.996180986e-01,-6.005578960e-01
1.680581157e-01,1.088218732e+00,1.885089729e-01,-9.996161918e-01,-6.000740066e-01
1.688684379e-01,1.088692625e+00,1.895099351e-01,-9.996142764e-01,-5.995899152e-01
1.696793222e-01,1.089167246e+00,1.905124200e-01,-9.996123523e-01,-5.991056226e-01
1.704907690e-01,1.089642598e+00,1.915164290e-01,-9.996104195e-01,-5.986211297e-01
1.713027788e-01,1.090118681e+00,1.925219635e-01,-9.996084780e-01,-5.981364374e-01
1.721153519e-01,1.090595497e+00,1.935290249e-01,-9.996065278e-01,-5.976515464e-01
1.729284887e-01,1.091073045e+00,1.945376147e-01,-9.996045687e-01,-5.971664578e-01
1.737421896e-01,1.091551327e+00,1.955477343e-01,-9.996026008e-01,-5.966811723e-01
1.745564550e-01,1.092030345e+00,1.965593851e-01,-9.996006240e-01,-5.961956907e-01
1.753712852e-01,1.092510098e+00,1.975725686e-01,-9.995986383e-01,-5.957100141e-01
1.761866808e-01,1.092990589e+00,1.985872862e-01,-9.995966437e-01,-5.952241431e-01
1.770026420e-01,1.093471817e+00,1.996035392e-01,-9.995946400e-01,-5.947380788e-01
1.778191693e-01,1.093953786e+00,2.006213292e-01,-9.995926273e-01,-5.942518219e-01
1.786362630e-01,1.094436494e+00,2.016406576e-01,-9.995906055e-01,-5.937653734e-01
1.794539236e-01,1.094919943e+00,2.026615258e-01,-9.995885747e-01,-5.932787340e-01
1.802721514e-01,1.095404135e+00,2.036839352e-01,-9.995865346e-01,-5.927919048e-01
1.810909469e-01,1.095889070e+00,2.047078873e-01,-9.995844854e-01,-5.923048865e-01
1.819103103e-01,1.096374749e+00,2.057333835e-01,-9.995824270e-01,-5.918176800e-01
1.827302422e-01,1.096861173e+00,2.067604252e-01,-9.995803593e-01,-5.913302862e-01
1.835507430e-01,1.097348344e+00,2.077890138e-01,-9.995782823e-01,-5.908427061e-01
1.843718129e-01,1.097836261e+00,2.088191509e-01,-9.995761959e-01,-5.903549404e-01
1.851934524e-01,1.098324927e+00,2.098508377e-01,-9.995741002e-01,-5.898669901e-01
1.860156619e-01,1.098814343e+00,2.108840759e-01,-9.995719950e-01,-5.893788560e-01
1.868384419e-01,1.099304509e+00,2.119188667e-01,-9.995698804e-01,-5.888905390e-01
1.876617926e-01,1.099795426e+00,2.129552116e-01,-9.995677562e-01,-5.884020401e-01
1.884857145e-01,1.100287095e+00,2.139931121e-01,-9.995656225e-01,-5.879133600e-01
1.893102080e-01,1.100779518e+00,2.150325695e-01,-9.995634793e-01,-5.874244998e-01
1.901352734e-01,1.101272696e+00,2.160735854e-01,-9.995613264e-01,-5.869354602e-01
1.909609113e-01,1.101766629e+00,2.171161612e-01,-9.995591638e-01,-5.864462422e-01
1.917871219e-01,1.102261318e+00,2.181602983e-01,-9.995569915e-01,-5.859568467e-01
1.926139057e-01,1.102756765e+00,2.192059980e-01,-9.995548095e-01,-5.854672746e-01
1.934412630e-01,1.103252970e+00,2.202532620e-01,-9.995526176e-01,-5.849775267e-01
1.942691943e-01,1.103749936e+00,2.213020915e-01,-9.995504159e-01,-5.844876040e-01
1.950977000e-01,1.104247661e+00,2.223524881e-01,-9.995482044e-01,-5.839975073e-01
1.959267805e-01,1.104746148e+00,2.234044532e-01,-9.995459829e-01,-5.835072376e-01
1.967564361e-01,1.105245398e+00,2.244579882e-01,-9.995437515e-01,-5.830167958e-01
1.975866672e-01,1.105745411e+00,2.255130945e-01,-9.995415101e-01,-5.825261827e-01
1.984174744e-01,1.106246190e+00,2.265697736e-01,-9.995392586e-01,-5.820353994e-01
1.992488578e-01,1.106747734e+00,2.276280270e-01,-9.995369970e-01,-5.815444466e-01
2.000808181e-01,1.107250045e+00,2.286878560e-01,-9.995347253e-01,-5.810533253e-01
2.009133555e-01,1.107753123e+00,2.297492621e-01,-9.995324434e-01,-5.805620364e-01
2.017464705e-01,1.108256970e+00,2.308122468e-01,-9.995301513e-01,-5.800705808e-01
2.025801634e-01,1.108761588e+00,2.318768115e-01,-9.995278490e-01,-5.795789594e-01
2.034144347e-01,1.109266976e+00,2.329429576e-01,-9.995255363e-01,-5.790871732e-01
2.042492847e-01,1.109773136e+00,2.340106865e-01,-9.995232133e-01,-5.785952230e-01
2.050847139e-01,1.110280069e+00,2.350799998e-01,-9.995208799e-01,-5.781031098e-01
2.059207227e-01,1.110787776e+00,2.361508988e-01,-9.995185360e-01,-5.776108345e-01
2.067573115e-01,1.111296258e+00,2.372233850e-01,-9.995161817e-01,-5.771183980e-01
2.075944806e-01,1.111805517e+00,2.382974598e-01,-9.995138168e-01,-5.766258012e-01
2.084322305e-01,1.112315553e+00,2.393731247e-01,-9.995114414e-01,-5.761330451e-01
2.092705616e-01,1.112826366e+00,2.404503811e-01,-9.995090553e-01,-5.756401305e-01
2.101094742e-01,1.113337959e+00,2.415292305e-01,-9.995066586e-01,-5.751470584e-01
2.109489688e-01,1.113850333e+00,2.426096743e-01,-9.995042512e-01,-5.746538297e-01
2.117890459e-01,1.114363488e+00,2.436917139e-01,-9.995018330e-01,-5.741604454e-01
2.126297057e-01,1.114877425e+00,2.447753508e-01,-9.994994040e-01,-5.736669064e-01
2.134709487e-01,1.115392145e+00,2.458605865e-01,-9.994969642e-01,-5.731732135e-01
2.143127753e-01,1.115907651e+00,2.469474223e-01,-9.994945135e-01,-5.726793678e-01
2.151551859e-01,1.116423942e+00,2.480358598e-01,-9.994920518e-01,-5.721853701e-01
2.159981809e-01,1.116941019e+00,2.491259003e-01,-9.994895792e-01,-5.716912214e-01
2.168417607e-01,1.117458884e+00,2.502175453e-01,-9.994870955e-01,-5.711969227e-01
2.176859258e-01,1.117977538e+00,2.513107963e-01,-9.994846007e-01,-5.707024748e-01
2.185306764e-01,1.118496981e+00,2.524056547e-01,-9.994820949e-01,-5.702078787e-01
2.193760132e-01,1.119017215e+00,2.535021220e-01,-9.994795778e-01,-5.697131354e-01
2.202219363e-01,1.119538241e+00,2.546001995e-01,-9.994770495e-01,-5.692182457e-01
2.210684463e-01,1.120060060e+00,2.556998888e-01,-9.994745100e-01,-5.687232106e-01
2.219155435e-01,1.120582673e+00,2.568011913e-01,-9.994719592e-01,-5.682280311e-01
2.227632284e-01,1.121106081e+00,2.579041085e-01,-9.994693969e-01,-5.677327081e-01
2.236115014e-01,1.121630285e+00,2.590086417e-01,-9.994668233e-01,-5.672372425e-01
2.244603629e-01,1.122155286e+00,2.601147924e-01,-9.994642382e-01,-5.667416353e-01
2.253098132e-01,1.122681086e+00,2.612225622e-01,-9.994616416e-01,-5.662458875e-01
2.261598528e-01,1.123207685e+00,2.623319524e-01,-9.994590335e-01,-5.657499999e-01
