z,a,N,H_over_H0,D,f,sigma8_z,fsigma8
2.912210484,0.2556099688628103,-1.3641025554286264,4.320126849,0.32359782395573083,0.9976475628540681,0.2588782591645847,0.2582692643314517
2.90949833,0.25578729432530545,-1.3634090614177412,4.315803777,0.32382177836153203,0.9975736748748435,0.25905742268922566,0.2584288651556965
2.906788057,0.2559647427528726,-1.3627155676089346,4.311485369,0.3240458710882829,0.9974997612970272,0.25923669687062634,0.25858854324787955
2.904079662,0.2561423143419454,-1.3620220735680721,4.30717162,0.3242701023432782,0.9974258218246667,0.25941608187462256,0.25874829865833043
2.901373145,0.25632000909259345,-1.3613285796285421,4.302862525,0.32449447208571996,0.9973518562436426,0.259595577668576,0.25890813126039497
2.898668505,0.2564978270703218,-1.3606350858679295,4.298558079,0.32471898035734076,0.997277864312613,0.2597751842858726,0.2590680409860305
2.895965739,0.2566757684724085,-1.3599415918504518,4.294258278,0.3249436273661181,0.9972038457354677,0.2599549018928945,0.25922802788538063
2.893264847,0.25685383329894995,-1.3592480979094457,4.289963118,0.32516841307096117,0.9971298002981916,0.26013473045676894,0.25938809183098194
2.890565828,0.25703202161575145,-1.3585546041219099,4.285672592,0.325393337513636,0.9970557277594613,0.26031467001090886,0.25954823275419076
2.887868679,0.25721033362094176,-1.3578611100504052,4.281386698,0.3256184009026317,0.9969816278190333,0.2604947207221054,0.2597084507037891
2.885173401,0.2573887692483973,-1.3571676162856008,4.27710543,0.3258436031120516,0.9969075002684327,0.2606748824896413,0.25986874548551575
2.88247999,0.2575673287629745,-1.356474122131738,4.272828783,0.32606894443452494,0.9968333447793055,0.26085515554761995,0.26002911720746
2.879788448,0.2577460120320457,-1.3557806284373703,4.268556753,0.32629442466106723,0.9967591611914837,0.2610355397288538,0.2601895656212985
2.877098771,0.25792481932103967,-1.3550871345056272,4.264289336,0.3265200440848967,0.9966849491793942,0.26121603526791737,0.2603500908358471
2.874410958,0.25810375069664976,-1.3543936404117822,4.260026526,0.32674580274829546,0.9966107084998951,0.2613966421986364,0.2605106927810766
