z,H_over_H0,dL,w_phi,w_tot
1.926139057e-01,1.099533259e+00,2.194276514e-01,-9.995581649e-01,-5.790755511e-01
1.934412630e-01,1.100015102e+00,2.204776989e-01,-9.995560038e-01,-5.785683584e-01
1.942691943e-01,1.100497737e+00,2.215293268e-01,-9.995538330e-01,-5.780609998e-01
1.950977000e-01,1.100981165e+00,2.225825367e-01,-9.995516526e-01,-5.775534764e-01
1.959267805e-01,1.101465386e+00,2.236373300e-01,-9.995494624e-01,-5.770457891e-01
1.967564361e-01,1.101950403e+00,2.246937081e-01,-9.995472624e-01,-5.765379392e-01
1.975866672e-01,1.102436215e+00,2.257516725e-01,-9.995450527e-01,-5.760299274e-01
1.984174744e-01,1.102922825e+00,2.268112246e-01,-9.995428331e-01,-5.755217549e-01
1.992488578e-01,1.103410233e+00,2.278723658e-01,-9.995406035e-01,-5.750134227e-01
2.000808181e-01,1.103898440e+00,2.289350975e-01,-9.995383641e-01,-5.745049318e-01
2.009133555e-01,1.104387448e+00,2.299994212e-01,-9.995361147e-01,-5.739962832e-01
2.017464705e-01,1.104877256e+00,2.310653383e-01,-9.995338552e-01,-5.734874780e-01
2.025801634e-01,1.105367867e+00,2.321328502e-01,-9.995315857e-01,-5.729785172e-01
2.034144347e-01,1.105859282e+00,2.332019585e-01,-9.995293061e-01,-5.724694018e-01
2.042492847e-01,1.106351501e+00,2.342726644e-01,-9.995270163e-01,-5.719601329e-01
2.050847139e-01,1.106844526e+00,2.353449695e-01,-9.995247163e-01,-5.714507115e-01
2.059207227e-01,1.107338357e+00,2.364188752e-01,-9.995224061e-01,-5.709411386e-01
2.067573115e-01,1.107832995e+00,2.374943828e-01,-9.995200857e-01,-5.704314152e-01
2.075944806e-01,1.108328443e+00,2.385714939e-01,-9.995177549e-01,-5.699215425e-01
2.084322305e-01,1.108824700e+00,2.396502099e-01,-9.995154137e-01,-5.694115213e-01
2.092705616e-01,1.109321768e+00,2.407305323e-01,-9.995130621e-01,-5.689013529e-01
2.101094742e-01,1.109819648e+00,2.418124623e-01,-9.995107001e-01,-5.683910382e-01
2.109489688e-01,1.110318341e+00,2.428960016e-01,-9.995083275e-01,-5.678805782e-01
2.117890459e-01,1.110817848e+00,2.439811514e-01,-9.995059445e-01,-5.673699740e-01
2.126297057e-01,1.111318170e+00,2.450679133e-01,-9.995035508e-01,-5.668592267e-01
2.134709487e-01,1.111819308e+00,2.461562887e-01,-9.995011465e-01,-5.663483373e-01
2.143127753e-01,1.112321264e+00,2.472462791e-01,-9.994987315e-01,-5.658373068e-01
2.151551859e-01,1.112824037e+00,2.483378858e-01,-9.994963058e-01,-5.653261362e-01
2.159981809e-01,1.113327630e+00,2.494311103e-01,-9.994938694e-01,-5.648148268e-01
2.168417607e-01,1.113832044e+00,2.505259540e-01,-9.994914221e-01,-5.643033794e-01
2.176859258e-01,1.114337278e+00,2.516224184e-01,-9.994889640e-01,-5.637917951e-01
2.185306764e-01,1.114843336e+00,2.527205049e-01,-9.994864949e-01,-5.632800750e-01
2.193760132e-01,1.115350217e+00,2.538202150e-01,-9.994840149e-01,-5.627682202e-01
2.202219363e-01,1.115857922e+00,2.549215501e-01,-9.994815239e-01,-5.622562317e-01
2.210684463e-01,1.116366454e+00,2.560245115e-01,-9.994790219e-01,-5.617441105e-01
