z,H_over_H0,dL,w_phi,w_tot
1.624015681e-01,1.084921813e+00,1.815447521e-01,-9.996293604e-01,-6.034569423e-01
1.632079661e-01,1.085390630e+00,1.825350956e-01,-9.996275045e-01,-6.029742829e-01
1.640149235e-01,1.085860169e+00,1.835269518e-01,-9.996256403e-01,-6.024914163e-01
1.648224408e-01,1.086330431e+00,1.845203221e-01,-9.996237676e-01,-6.020083435e-01
1.656305182e-01,1.086801418e+00,1.855152079e-01,-9.996218864e-01,-6.015250653e-01
1.664391563e-01,1.087273129e+00,1.865116107e-01,-9.996199968e-01,-6.010415825e-01
1.672483553e-01,1.087745567e+00,1.875095318e-01,-9.996180986e-01,-6.005578960e-01
1.680581157e-01,1.088218731e+00,1.885089728e-01,-9.996161918e-01,-6.000740066e-01
1.688684379e-01,1.088692624e+00,1.895099350e-01,-9.996142764e-01,-5.995899152e-01
1.696793222e-01,1.089167246e+00,1.905124199e-01,-9.996123523e-01,-5.991056226e-01
1.704907690e-01,1.089642597e+00,1.915164289e-01,-9.996104195e-01,-5.986211297e-01
1.713027788e-01,1.090118680e+00,1.925219634e-01,-9.996084780e-01,-5.981364374e-01
1.721153519e-01,1.090595495e+00,1.935290248e-01,-9.996065278e-01,-5.976515464e-01
1.729284887e-01,1.091073044e+00,1.945376146e-01,-9.996045687e-01,-5.971664578e-01
1.737421896e-01,1.091551326e+00,1.955477342e-01,-9.996026008e-01,-5.966811723e-01
1.745564550e-01,1.092030343e+00,1.965593850e-01,-9.996006240e-01,-5.961956907e-01
1.753712852e-01,1.092510097e+00,1.975725685e-01,-9.995986383e-01,-5.957100141e-01
1.761866808e-01,1.092990588e+00,1.985872861e-01,-9.995966437e-01,-5.952241431e-01
1.770026420e-01,1.093471816e+00,1.996035391e-01,-9.995946400e-01,-5.947380788e-01
1.778191693e-01,1.093953784e+00,2.006213292e-01,-9.995926273e-01,-5.942518219e-01
1.786362630e-01,1.094436493e+00,2.016406575e-01,-9.995906055e-01,-5.937653734e-01
1.794539236e-01,1.094919942e+00,2.026615257e-01,-9.995885747e-01,-5.932787340e-01
1.802721514e-01,1.095404134e+00,2.036839351e-01,-9.995865346e-01,-5.927919048e-01
1.810909469e-01,1.095889068e+00,2.047078872e-01,-9.995844854e-01,-5.923048865e-01
1.819103103e-01,1.096374747e+00,2.057333834e-01,-9.995824270e-01,-5.918176800e-01
1.827302422e-01,1.096861172e+00,2.067604251e-01,-9.995803593e-01,-5.913302862e-01
1.835507430e-01,1.097348342e+00,2.077890137e-01,-9.995782823e-01,-5.908427061e-01
1.843718129e-01,1.097836260e+00,2.088191508e-01,-9.995761959e-01,-5.903549404e-01
1.851934524e-01,1.098324926e+00,2.098508377e-01,-9.995741002e-01,-5.898669901e-01
1.860156619e-01,1.098814342e+00,2.108840758e-01,-9.995719950e-01,-5.893788560e-01
1.868384419e-01,1.099304507e+00,2.119188666e-01,-9.995698804e-01,-5.888905390e-01
1.876617926e-01,1.099795425e+00,2.129552115e-01,-9.995677562e-01,-5.884020401e-01
1.884857145e-01,1.100287094e+00,2.139931120e-01,-9.995656225e-01,-5.879133600e-01
1.893102080e-01,1.100779517e+00,2.150325695e-01,-9.995634793e-01,-5.874244998e-01
1.901352734e-01,1.101272694e+00,2.160735854e-01,-9.995613264e-01,-5.869354602e-01
1.909609113e-01,1.101766627e+00,2.171161611e-01,-9.995591638e-01,-5.864462422e-01
1.917871219e-01,1.102261316e+00,2.181602982e-01,-9.995569915e-01,-5.859568467e-01
1.926139057e-01,1.102756763e+00,2.192059980e-01,-9.995548095e-01,-5.854672746e-01
