z,H_over_H0,dL,w_phi,w_tot
2.134709487e-01,1.112465472e+00,2.462205782e-01,-9.994995591e-01,-5.709244705e-01
2.143127753e-01,1.112972310e+00,2.473100773e-01,-9.994971283e-01,-5.704223767e-01
2.151551859e-01,1.113479947e+00,2.484011882e-01,-9.994946866e-01,-5.699201345e-01
2.159981809e-01,1.113988385e+00,2.494939122e-01,-9.994922340e-01,-5.694177448e-01
2.168417607e-01,1.114497625e+00,2.505882509e-01,-9.994897706e-01,-5.689152087e-01
2.176859258e-01,1.115007666e+00,2.516842056e-01,-9.994872961e-01,-5.684125271e-01
2.185306764e-01,1.115518512e+00,2.527817779e-01,-9.994848107e-01,-5.679097011e-01
2.193760132e-01,1.116030162e+00,2.538809691e-01,-9.994823142e-01,-5.674067316e-01
2.202219363e-01,1.116542618e+00,2.549817808e-01,-9.994798066e-01,-5.669036196e-01
2.210684463e-01,1.117055880e+00,2.560842143e-01,-9.994772879e-01,-5.664003661e-01
2.219155435e-01,1.117569950e+00,2.571882711e-01,-9.994747579e-01,-5.658969721e-01
2.227632284e-01,1.118084830e+00,2.582939527e-01,-9.994722167e-01,-5.653934387e-01
2.236115014e-01,1.118600519e+00,2.594012605e-01,-9.994696643e-01,-5.648897667e-01
2.244603629e-01,1.119117019e+00,2.605101959e-01,-9.994671004e-01,-5.643859572e-01
2.253098132e-01,1.119634331e+00,2.616207605e-01,-9.994645252e-01,-5.638820112e-01
2.261598528e-01,1.120152457e+00,2.627329556e-01,-9.994619386e-01,-5.633779297e-01
